date,30500CE,30500PE,30600CE,30600PE,30700CE,30700PE,30800CE,30800PE,30900CE,30900PE,31000CE,31000PE,31100CE,31100PE,31200CE,31200PE,31300CE,31300PE,31400CE,31400PE,31500CE,31500PE,31600CE,31600PE,31700CE,31700PE,31800CE,31800PE,31900CE,31900PE,32000CE,32000PE,32100CE,32100PE,32200CE,32200PE,32300CE,32300PE,32400CE,32400PE,32500CE,32500PE
2019/11/22,878.75,146.5,,163.8,,193.0,620.0,223.85,,241.9,600.0,294.35,511.8,325.05,511.75,380.0,452.3,420.75,400.0,470.0,337.8,516.1,306.35,,249.05,,211.55,,173.5,,161.65,,80.45,,67.2,,,,51.8,,64.15,
2019/11/25,890.0,131.35,,153.65,947.55,211.0,575.0,220.0,,248.25,450.25,290.3,396.4,335.95,366.15,380.0,314.8,446.45,268.0,445.0,235.0,510.45,193.0,453.35,156.9,440.25,125.85,,108.35,,84.25,620.0,72.0,,53.55,,45.0,,35.95,,30.55,
2019/11/26,1280.0,46.45,,43.5,,59.5,941.7,84.75,,100.0,728.15,114.35,750.0,133.2,630.25,157.35,578.6,199.9,480.0,243.7,434.9,280.0,367.0,305.2,348.15,379.65,279.65,405.0,215.15,435.7,187.15,474.15,153.45,605.0,128.9,,99.75,,88.1,,69.0,926.0
2019/11/27,1340.0,44.35,,51.65,,61.4,1077.0,76.8,994.5,84.65,890.0,99.05,820.0,118.0,740.65,140.0,660.0,162.5,600.0,190.0,514.0,220.7,464.55,258.75,386.25,297.7,326.85,338.25,273.5,387.35,225.0,435.0,185.5,461.2,150.45,554.95,122.95,,96.1,,78.1,750.4
2019/11/28,1440.9,19.95,,23.0,1399.0,28.15,1200.0,35.0,,43.25,970.0,51.95,924.65,62.5,830.0,76.0,739.35,90.35,644.8,110.35,585.05,133.2,490.5,163.3,442.2,197.6,379.9,233.05,326.2,277.3,272.95,323.45,225.0,393.8,185.0,451.5,147.65,394.4,116.5,435.4,91.25,666.1
2019/11/29,1500.0,13.2,1370.0,15.65,,18.45,1122.3,23.15,1026.85,28.4,1028.1,35.0,943.95,42.45,828.6,52.8,780.0,64.1,669.45,79.2,600.0,97.85,520.4,120.5,446.5,148.4,382.35,180.75,321.9,220.0,267.9,264.2,219.35,318.35,177.0,375.0,140.0,439.95,108.95,505.0,82.95,580.0
2019/12/02,1364.55,8.65,1249.85,9.9,1079.65,11.65,1083.4,17.95,1095.9,18.8,890.0,23.9,816.35,31.6,638.3,41.6,636.1,53.65,555.0,70.35,505.0,92.25,410.75,118.25,341.15,150.15,260.0,188.5,229.2,233.5,183.1,287.8,145.3,349.95,111.6,423.75,83.0,490.35,60.15,568.4,45.65,650.0
2019/12/03,1345.35,4.6,946.65,5.3,1050.0,6.1,976.95,7.65,950.75,9.75,825.0,13.55,688.15,19.05,625.0,27.4,550.0,39.8,505.9,57.1,402.0,79.7,336.0,107.75,271.3,144.0,212.0,187.6,162.9,237.15,123.25,297.9,92.3,364.55,67.8,441.35,48.45,524.85,34.0,602.95,24.0,699.0
2019/12/04,1010.0,3.65,920.7,4.05,801.05,5.2,674.5,7.45,635.0,12.15,550.0,19.85,464.95,30.9,372.35,47.35,300.0,71.15,233.9,104.6,176.9,147.6,128.25,199.2,90.7,262.0,62.75,332.45,42.95,415.0,30.05,501.5,20.7,586.95,14.8,672.0,10.4,800.0,7.75,916.65,6.1,979.95
2019/12/05,1546.8,0.3,1181.25,0.5,1225.0,0.5,1078.75,0.6,1100.0,0.75,1005.3,0.9,935.05,1.1,724.55,1.95,752.3,3.55,653.85,5.85,543.5,9.0,451.0,13.6,357.1,22.45,274.15,37.4,200.6,63.65,141.4,103.2,94.15,157.1,59.65,223.55,35.85,295.95,21.3,385.0,11.95,476.75
