date,21500CE,21500PE,21600CE,21600PE,21700CE,21700PE,21800CE,21800PE,21900CE,21900PE,22000CE,22000PE,22100CE,22100PE,22200CE,22200PE,22300CE,22300PE,22400CE,22400PE,22500CE,22500PE,22600CE,22600PE,22700CE,22700PE,22800CE,22800PE,22900CE,22900PE,23000CE,23000PE,23100CE,23100PE,23200CE,23200PE,23300CE,23300PE,23400CE,23400PE,23500CE,23500PE,23600CE,23600PE,23700CE,23700PE,23800CE,23800PE,23900CE,23900PE,24000CE,24000PE,24100CE,24100PE,24200CE,24200PE,24300CE,24300PE,24400CE,24400PE,24500CE,24500PE,24600CE,24600PE,24700CE,24700PE,24800CE,24800PE,24900CE,24900PE,25000CE,25000PE,25100CE,25100PE,25200CE,25200PE,25300CE,25300PE,25400CE,25400PE,25500CE,25500PE
2020/10/09,2428.0,95.1,,,,,,,,,1680.2,161.5,,129.7,,119.4,,,1513.7,265.55,1052.0,270.15,1450.0,320.0,1048.1,372.0,834.25,362.35,,412.1,720.0,463.1,633.6,327.15,617.45,521.95,578.65,577.95,549.45,490.0,459.75,684.65,381.0,551.0,357.7,690.85,345.6,460.3,268.8,600.0,265.3,960.0,451.7,,347.2,,305.0,,176.0,,167.15,,,,100.05,,,,,,84.7,,,,75.0,,,,,,45.0,
2020/10/12,2380.0,34.05,,,,,,,,94.3,2100.05,74.9,1820.0,60.7,,90.0,,84.0,,105.0,1640.0,104.3,,139.75,,153.55,,169.95,,199.45,1350.1,205.0,1180.05,222.15,1121.6,235.8,1079.5,255.0,976.9,302.4,960.0,345.5,857.2,348.0,787.65,391.35,680.55,399.25,678.9,444.4,611.85,509.45,575.3,550.25,520.0,623.75,510.95,732.0,441.6,733.2,395.15,798.0,398.45,,370.85,,320.0,,280.05,,239.4,,212.65,,238.55,,158.4,,162.3,,137.4,
2020/10/13,2050.3,62.5,,,,,,85.0,,76.2,1711.75,112.4,,123.5,,137.45,,155.5,1501.35,180.0,1170.4,205.0,,223.0,,243.15,1020.0,282.3,,299.55,860.0,354.95,873.95,367.9,840.0,439.7,682.8,445.3,644.4,510.0,560.0,565.95,507.75,618.95,480.8,644.65,425.05,700.0,402.7,725.05,347.15,850.0,307.95,867.65,288.0,950.0,255.0,,226.5,,199.0,1180.0,196.5,,165.0,,150.0,,138.0,,112.05,,94.6,,85.45,,85.4,,74.75,,69.85,
2020/10/14,1802.0,57.0,,51.0,,,,89.95,,102.95,1425.0,112.35,1295.0,126.0,,127.25,1154.1,169.9,1085.0,186.25,1052.1,210.0,880.0,231.0,815.0,263.0,824.7,302.95,726.05,337.75,711.0,369.65,647.7,405.25,578.15,449.15,540.0,502.3,500.85,554.7,445.0,601.55,401.1,659.95,370.35,715.0,325.5,800.0,294.3,898.55,255.7,922.0,241.1,1001.05,199.95,1014.85,180.8,791.4,155.45,1233.7,136.7,1315.15,125.35,,122.05,,77.05,,86.3,,67.35,1364.25,46.95,,55.05,,50.35,,36.1,,35.55,
2020/10/15,2245.0,18.05,,18.0,1527.25,33.85,,34.85,1414.15,31.65,1722.85,32.5,1408.55,39.0,1150.35,46.65,1001.6,69.35,1530.0,70.95,1549.7,72.25,1388.55,90.85,1155.55,100.35,1048.05,120.25,740.05,149.65,926.35,155.0,833.7,184.55,695.3,202.45,720.0,229.1,624.05,266.8,589.25,304.95,525.65,345.55,483.35,384.65,439.6,443.1,388.45,486.0,343.3,553.6,306.1,622.15,270.0,697.65,241.15,563.2,200.15,871.0,177.8,919.4,152.5,799.8,143.55,899.25,113.3,1112.7,101.1,,87.0,1377.3,81.6,,68.35,,63.2,,46.05,,44.75,2263.2
2020/10/16,1800.0,43.15,,50.0,1658.4,57.45,1526.85,66.25,1414.15,76.0,1350.0,87.65,1200.25,100.2,1160.0,115.65,1086.45,131.85,909.2,153.1,942.0,174.1,861.85,199.05,785.0,226.55,719.05,256.95,650.05,290.35,589.95,325.75,532.4,367.15,473.15,411.85,422.0,459.1,372.75,509.95,326.0,560.3,286.25,617.3,247.7,680.0,214.3,745.0,185.35,813.5,157.65,889.45,135.9,953.8,116.2,1026.55,99.45,1103.65,83.25,1130.0,70.55,1286.1,60.2,1387.4,51.5,1484.1,43.2,1526.0,36.95,1647.55,31.25,1702.15,27.2,,23.65,1927.6,21.15,,18.55,,15.8,2148.0
2020/10/19,2375.0,12.0,2211.5,13.05,2479.15,14.5,2526.95,16.4,2271.15,18.65,1815.0,21.6,1766.8,24.95,1665.0,28.3,1533.25,33.15,1440.0,39.65,1364.8,45.95,1302.3,54.9,1163.85,65.2,1098.05,76.0,1000.0,89.75,924.0,105.0,816.3,123.9,767.05,144.85,685.0,168.8,617.0,199.75,548.1,233.75,489.65,271.7,436.3,316.65,384.0,361.85,334.8,414.0,290.9,471.15,251.75,538.0,216.2,603.0,183.75,668.0,153.75,728.2,129.6,815.6,107.85,890.85,89.45,950.0,73.7,1027.65,60.55,1094.5,49.55,1250.0,40.45,975.35,33.5,1100.65,27.55,1199.3,23.45,1295.25,19.8,1650.0
2020/10/20,2836.1,6.9,,7.95,,8.05,,9.1,,10.2,2139.65,11.35,2096.4,12.6,,14.05,2047.2,16.15,1837.35,18.15,1660.8,20.8,1491.15,24.35,1561.0,28.0,1338.3,32.4,1250.0,39.1,1148.3,46.55,1051.0,57.45,942.2,69.0,903.75,83.0,810.0,100.15,733.0,120.75,650.0,144.75,577.85,170.45,513.45,202.8,450.1,240.0,394.85,279.85,339.0,326.35,289.4,378.2,241.9,433.2,201.35,488.1,165.4,553.05,135.6,630.75,109.9,696.9,87.8,785.85,70.85,768.0,55.6,940.05,43.15,1022.0,33.35,1123.1,26.25,1228.0,20.7,1034.25,16.95,1449.25
2020/10/21,3222.9,3.45,,4.0,2999.1,5.55,2915.0,5.0,2835.0,5.85,2484.85,5.05,2569.55,7.85,2560.0,6.0,1931.4,6.6,2436.6,7.0,2025.95,7.45,2092.9,8.25,2104.6,8.9,1797.75,9.75,1643.0,10.65,1536.1,11.45,1405.9,12.95,1347.0,14.7,1247.85,17.55,1166.0,21.15,1060.2,25.7,966.2,31.6,879.8,39.5,782.25,48.95,699.85,61.5,614.7,78.3,539.35,100.1,464.6,127.4,397.75,160.55,337.7,199.75,282.95,242.95,232.3,290.0,188.3,347.6,150.55,407.0,118.55,477.0,91.45,555.0,70.2,629.4,52.3,720.0,43.05,848.45,31.05,952.15,22.6,989.1
2020/10/22,3000.0,0.7,,0.95,2800.0,1.85,,0.95,2625.0,1.0,2550.0,0.9,2400.0,1.2,2460.9,1.25,2338.05,0.5,2040.0,0.55,2010.7,1.3,2075.0,1.3,1916.55,3.0,1816.3,2.8,1650.0,1.55,1450.0,1.7,1309.65,1.7,1278.25,1.7,1152.35,1.95,1010.7,4.6,984.65,5.1,868.45,14.8,748.55,11.0,683.0,16.1,594.1,27.3,520.55,41.4,443.2,61.5,362.1,73.15,288.2,110.7,218.15,142.2,159.7,183.0,74.95,240.2,57.1,305.15,40.9,379.75,25.0,465.0,11.5,557.4,28.0,626.05,4.7,721.4,3.3,698.1,2.6,794.15,1.9,983.65
